"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.22817297,0.20023598,0.23454938,0.19345,0.27608481,0.31137969,0.165621,0.17941974,0.25339154,0.26109849,0.24172693,0.19869632,0.19711846,0.20061849,0.17157972,0.23285814,0.17191235,0.33894764,0.30345324,0.26074074,0.21175327,0.3277337,0.29300721,0.33845214,0.33914742,0.24141635,0.2458938,0.24143477,0.22544962,0.2229001,0.14770221,0.18210469,0.18288115,0.1813116,0.19699071,0.33021021,0.32608334,0.16546574,0.15567753,0.1211465,0.31594368,0.36262239,0.34050438,0.23894804,0.24391154,0.23473333
0.20079645,0.16749965,0.20551462,0.18933036,0.26180866,0.31732566,0.14311447,0.17760555,0.23457003,0.25019357,0.23044879,0.19860368,0.19701373,0.19993144,0.15970221,0.21810051,0.16304672,0.31883541,0.29464867,0.23509211,0.18879281,0.30341307,0.27072044,0.31624595,0.31942971,0.23607698,0.23914122,0.23448275,0.21156694,0.2222359,0.13485794,0.16696267,0.16474484,0.16919257,0.17531042,0.30690128,0.30159293,0.15430088,0.14516138,0.11563928,0.28963483,0.3359009,0.32368479,0.23159125,0.23353561,0.2264881
0.2158033,0.18527264,0.22002465,0.18753617,0.25556272,0.30696357,0.16100235,0.18763459,0.25731862,0.25860948,0.23558912,0.19672888,0.19414976,0.19865305,0.15712267,0.21761483,0.15884751,0.31767958,0.28078426,0.2544151,0.21091455,0.30883174,0.28771689,0.32563354,0.33149337,0.24492495,0.2454811,0.2428108,0.21367158,0.21911854,0.14647159,0.18207915,0.17600007,0.17030939,0.18796521,0.31199764,0.30771381,0.15513689,0.1450604,0.12086512,0.28991645,0.3413672,0.32478771,0.24190232,0.2437667,0.23495633
0.21511867,0.18371024,0.21965863,0.16883464,0.25577899,0.30205752,0.14148546,0.16587067,0.24096342,0.24331704,0.22866562,0.19771673,0.19655087,0.19993304,0.15799558,0.21850804,0.15991896,0.30897305,0.27763662,0.25467535,0.21102902,0.30819886,0.26715352,0.30484521,0.32122129,0.2331173,0.23558541,0.23173322,0.20029372,0.19736022,0.13647625,0.16268612,0.17130645,0.17050665,0.17214676,0.31065863,0.30804696,0.15667995,0.14986654,0.1183951,0.28856483,0.33478958,0.32203193,0.22950128,0.23293997,0.22286818
0.21094556,0.18332241,0.2164738,0.16761474,0.24612725,0.29560749,0.15027985,0.16769056,0.24138129,0.24533361,0.22414101,0.1828425,0.18069415,0.18668669,0.15236854,0.20752853,0.15494388,0.30210863,0.26600224,0.2312103,0.18559321,0.30876194,0.26558701,0.30752573,0.31333146,0.22780024,0.23340135,0.226935,0.2036626,0.20325086,0.13678465,0.16679681,0.16775683,0.15784048,0.17352685,0.31395913,0.30724695,0.1428972,0.13207352,0.1102608,0.27487058,0.32842925,0.31328393,0.22877423,0.22784813,0.22187172
0.21667864,0.18211043,0.22076581,0.18496018,0.25940543,0.30772905,0.15696948,0.16630747,0.25052158,0.26219459,0.2381369,0.1899885,0.18984647,0.19482043,0.16204609,0.22482513,0.16374208,0.31414921,0.28475683,0.2424888,0.1923589,0.31194318,0.26850806,0.30836837,0.31620884,0.23135992,0.23490648,0.22937481,0.20983337,0.21117531,0.14020483,0.16743951,0.16922744,0.16687818,0.17976552,0.31875991,0.3108024,0.15341672,0.14528659,0.1154626,0.29880802,0.33299375,0.32072512,0.22875882,0.23138913,0.22120513
0.20538196,0.17349361,0.21020193,0.17353509,0.24164122,0.28625953,0.14920521,0.17127032,0.22690831,0.23472498,0.21570855,0.19841779,0.19753506,0.20246204,0.15492997,0.21887306,0.15579296,0.30477422,0.27751906,0.23970842,0.19204791,0.30792203,0.26460812,0.29874742,0.31452909,0.22669446,0.22552783,0.22516279,0.20004496,0.20655248,0.12960082,0.15469081,0.15857623,0.16418682,0.17429192,0.31401989,0.30869476,0.14849778,0.14071425,0.11371002,0.28391061,0.32845515,0.31439605,0.22094738,0.22674504,0.21804027
0.19586364,0.16726361,0.20029118,0.18450077,0.27310429,0.32923724,0.15620128,0.1778218,0.24832844,0.26505661,0.2436478,0.21123244,0.21060367,0.20941825,0.16020685,0.22028374,0.16122002,0.33103928,0.29706012,0.2607725,0.21455091,0.31419735,0.27739974,0.32893588,0.34111552,0.23813392,0.2385179,0.2369258,0.21162979,0.21855016,0.14130677,0.17548452,0.17160355,0.17361539,0.18860759,0.3186073,0.31421849,0.1498649,0.14031434,0.11744404,0.30390222,0.35575571,0.33825838,0.23495776,0.23906058,0.22891017
0.21068964,0.17752616,0.21438437,0.18234897,0.26746489,0.31392973,0.15564257,0.17673168,0.24031473,0.25115265,0.23298595,0.20921909,0.2080462,0.20836043,0.16643296,0.2259757,0.16694111,0.318265,0.29714728,0.26481419,0.22018816,0.32086218,0.26939367,0.32284832,0.33021942,0.2445024,0.2443613,0.24301816,0.21520512,0.21504858,0.14383047,0.17803301,0.17393884,0.17369593,0.19565953,0.32487311,0.31992306,0.15453467,0.14572277,0.1194542,0.29435087,0.35036852,0.32906269,0.24097129,0.24297691,0.22790524
0.2053312,0.17115477,0.21015468,0.186509,0.26508281,0.3145482,0.1530719,0.17592381,0.2431154,0.25155528,0.23408959,0.19660511,0.19495622,0.20306367,0.1639046,0.22454885,0.1657271,0.3232948,0.29142255,0.24496074,0.19801153,0.31981724,0.28534633,0.32119128,0.32936493,0.23719782,0.2403421,0.23541997,0.2088743,0.20795573,0.13800483,0.15908603,0.16332202,0.17073636,0.17920421,0.3236844,0.31786342,0.15396982,0.14266162,0.11375501,0.31090087,0.34629592,0.33030195,0.23386095,0.2382585,0.23070186
