"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.1242,0.11855,0.135,0.25735,0.42015,0.47475,0.29075,0.2638,0.2712,0.2632,0.2048,0.3482,0.35595,0.42645,0.38165,0.36995,0.38475,0.30815,0.4203,0.3077,0.32065,0.33885,0.4333,0.45695,0.3778,0.2209,0.2214,0.2629,0.3325,0.2781,0.2575,0.26175,0.24085,0.37445,0.3117,0.33515,0.35335,0.25365,0.2457,0.27235,0.4056,0.479,0.44225,0.2427,0.21875,0.223
0.12585,0.11925,0.1352,0.24595,0.41125,0.46715,0.2723,0.2476,0.25525,0.25345,0.20395,0.32755,0.334,0.40515,0.3764,0.35115,0.3743,0.2819,0.39395,0.2997,0.30595,0.3246,0.4189,0.4489,0.3748,0.2072,0.20275,0.24695,0.3114,0.2634,0.2426,0.24355,0.23,0.36805,0.29165,0.3237,0.34405,0.23915,0.231,0.2522,0.39805,0.47135,0.4371,0.22495,0.2065,0.20675
0.12445,0.11505,0.1335,0.25385,0.4248,0.47875,0.28915,0.2535,0.2751,0.2669,0.21295,0.339,0.3511,0.42505,0.38155,0.3644,0.3854,0.3016,0.4228,0.29845,0.30295,0.3391,0.433,0.4617,0.37435,0.21965,0.21785,0.26255,0.32135,0.2686,0.25935,0.26315,0.24375,0.3826,0.3063,0.33665,0.35685,0.2467,0.24645,0.26625,0.40915,0.48365,0.4457,0.24045,0.22055,0.21795
0.11605,0.10835,0.1251,0.23715,0.40585,0.46,0.2661,0.2482,0.25945,0.24735,0.19675,0.3381,0.3466,0.42455,0.3585,0.3491,0.35905,0.28925,0.40145,0.29095,0.2977,0.33,0.42645,0.4527,0.37035,0.2165,0.21195,0.2547,0.2965,0.2586,0.24245,0.2444,0.22725,0.35515,0.2816,0.3288,0.34535,0.2328,0.2293,0.25355,0.4044,0.47495,0.4388,0.2388,0.2144,0.21755
0.1178,0.11345,0.12565,0.2484,0.42395,0.48525,0.27745,0.2577,0.2563,0.25375,0.2043,0.3555,0.36145,0.42705,0.37025,0.3564,0.37215,0.2983,0.4215,0.31835,0.3238,0.3375,0.4281,0.45705,0.38295,0.22305,0.22105,0.26425,0.3146,0.27115,0.2422,0.2454,0.2269,0.3639,0.29285,0.3335,0.353,0.23705,0.2306,0.2593,0.41035,0.48105,0.4366,0.2438,0.2232,0.22445
0.1153,0.10985,0.1245,0.26105,0.42675,0.48735,0.2824,0.26695,0.25345,0.25525,0.2027,0.36055,0.36385,0.43675,0.3809,0.36815,0.38135,0.30515,0.4166,0.32085,0.33005,0.33965,0.4298,0.4581,0.3851,0.21915,0.2167,0.26,0.33225,0.28535,0.24405,0.24385,0.22945,0.376,0.3099,0.3388,0.35545,0.2448,0.2391,0.26685,0.4091,0.479,0.4362,0.24235,0.22015,0.2188
0.1188,0.113,0.127,0.2685,0.44205,0.49695,0.2962,0.26665,0.2691,0.26125,0.208,0.35135,0.36075,0.4352,0.38705,0.3682,0.39195,0.30925,0.4289,0.30295,0.30555,0.337,0.43725,0.4673,0.3896,0.231,0.23,0.2731,0.3342,0.2895,0.2454,0.2481,0.2312,0.38855,0.3143,0.3341,0.35435,0.24815,0.24025,0.2672,0.4087,0.49395,0.4572,0.2509,0.22975,0.2301
0.12275,0.11915,0.1346,0.27335,0.44285,0.49795,0.2887,0.26875,0.26495,0.26525,0.21065,0.3597,0.36765,0.4364,0.39245,0.37375,0.39375,0.3126,0.42925,0.3077,0.31475,0.35105,0.43605,0.46665,0.3854,0.23675,0.2301,0.2756,0.3288,0.28895,0.25645,0.25555,0.2375,0.38965,0.3094,0.34725,0.36615,0.24965,0.24695,0.2654,0.4171,0.4928,0.45085,0.25575,0.2335,0.2323
0.12365,0.1171,0.13035,0.26185,0.4291,0.4836,0.28685,0.26915,0.26525,0.26365,0.2091,0.362,0.3689,0.4428,0.38635,0.3693,0.38565,0.304,0.4274,0.3181,0.32495,0.34495,0.43685,0.4639,0.3838,0.22385,0.2263,0.2698,0.332,0.28735,0.24885,0.251,0.23795,0.3757,0.30825,0.3417,0.3604,0.25245,0.2465,0.2719,0.41245,0.48315,0.44495,0.2501,0.2284,0.2276
0.1213,0.1108,0.12795,0.26745,0.4288,0.4836,0.29575,0.27095,0.2703,0.2643,0.212,0.361,0.3697,0.43955,0.3828,0.37395,0.3826,0.31015,0.42405,0.31955,0.3282,0.3514,0.43865,0.46245,0.38545,0.22665,0.2253,0.2694,0.33935,0.29285,0.2545,0.25865,0.24115,0.3724,0.31875,0.3462,0.36435,0.2552,0.24865,0.27235,0.4111,0.4872,0.4498,0.24725,0.22765,0.22365
