"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys60","sys61","sys62"
1,1,0.5,0.0147,0.0149,0.0149,0.5,0.5,0.5,0.25,1,1,1,0.3333,0.5,1,0.3333,0,0.1,0.1429,0.3333,0.5,0.0256,1,0.0435,0.125,0.0556,0.0625,0.5,0.5,0.3333,1,1,1,0.2,0.1667,0.0667,1,1,1,0.5,0.5,0.3333,1,0.5,1,1,0.0323,1,0.125,0.05,0.0526,0.0909,1,1,0.25,1,1,1,0.2,0.0667,0.0667
0.0069,0.0059,0.0417,0.0385,0.04,0.04,0.125,1,1,0.0041,0.0357,0.0769,0.0769,1,1,1,0.0588,0,0,0,0.04,0.25,0.0435,0.2,0.012,0.0312,0.5,0.0909,0.25,0.5,0.0312,0.3333,0.1667,1,0.0625,0.0588,0.0034,0.3333,0.25,0.2,0.5,0.5,1,0.037,1,1,1,0.0357,0.0667,0.0417,0.05,0.0357,0.0435,0.25,0.5,0.0244,0.3333,0.1667,1,0.0625,0.0034,0.0026
1,1,1,1,1,1,1,1,1,1,0.3333,0.3333,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0087,0.0074,0.0094,0,0,0,0.0039,0.0118,0.0092,0.0769,0.0022,0,0.0052,0.0097,0.0084,0.0028,0.0833,0,0.0161,0.0213,0.0417,0.2,0.0044,0.0109,0.2,0.0233,0.0172,0.0078,0.0303,0.0294,0.25,0.0079,0.0049,0.0152,0.0116,0.0096,0.0032,0.0044,0.0037,0.0036,0.0095,0.004,0.0059,0.0027,0.0084,0.0476,0.0028,0.0035,0.0042,0.006,0.0714,0.0417,0.0455,0.0278,0.0278,0.1429,0.0079,0.0049,0.0152,0.0116,0.0032,0.0013
0.2,0.2,1,0,0,0,0.5,0.0714,0.05,0.0714,0.0022,0.0714,0.037,0.5,0.5,0.5,0.25,0,0.0045,0.0088,0.3333,0.25,0.1429,0.1667,0.0161,0.25,0.5,0.005,0.25,0.25,0.2,0.125,0.0417,0.2,0.0769,0.0256,0.0058,0.0169,0.0417,0.0076,0.3333,0.1111,0.0714,0,0.5,0.5,0.5,0.2,0.1667,0.011,0.1667,1,0.1111,0.2,0.25,0.2,0.5,0.0625,0.1111,0.0769,0.0058,0.0019
1,1,0.1667,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,0.1111,0.1111,1,1,1,1,1,1,1,1,1
0.0345,0.0135,0.004,0.5,0.5,0.5,0,0.5,0.5,0.5,0.0588,0.5,0.0169,1,1,1,0.0667,0.125,0.0025,0.0023,0.125,0.0244,1,1,0.003,0.1429,0.0077,0.1111,0.3333,0.1667,0.0556,0.0526,0.0294,0.2,0.3333,0.0435,0.1111,0.0057,0.0034,0.0046,0.5,0.5,0.5,0.0189,1,0.2,1,1,1,1,0.0435,0.0172,0.0435,1,0.5,0.0455,0.0526,0.0294,0.2,0.3333,0.1111,0.013
0.1667,0.1429,0.027,0.0909,0.0909,0.0909,0,0.25,0.3333,0.0303,0,0,0,0.2,0.25,0.0526,0.0061,0.0833,0,0,0.3333,0.037,0.25,0.5,0,0.0042,0.0833,0.0043,0.0667,0.05,0.0714,0.0909,0.0556,0.1429,0.1429,0.1,0.0073,0.0016,0.0015,0.0016,0.1429,0.25,0.5,0,0.25,0.3333,0.0526,0.25,0.25,0.25,0.0455,0.0417,0.0455,0.0714,0.0667,0.0714,0.0588,0.0833,0.2,0.1429,0.0073,0.04
0.25,0.0526,0,0,0,0,0.5,0.5,1,0.5,0.0417,0.0714,0.0435,1,1,1,0.0023,0,0,0,0.0556,0.0435,0.5,0.5,0.04,0.0135,0.0145,0.0127,0.1111,0.125,0.0278,1,1,1,1,1,1,0.0169,0.0303,0.0172,0.5,0.5,0.5,0.0526,1,1,1,0.5,0.5,0.5,0.0059,0.0059,0.0059,0.125,0.1429,0.04,1,1,1,1,1,1
0.5,0.5,1,0.0085,0.0085,0.0072,0.5,1,1,1,0.0714,0.0833,0.5,1,1,1,1,0.0222,0.25,0.5,1,1,1,1,1,0.3333,0.5,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.0625
