"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
1,0.5,1,1,0.3333,0,1,0.5,1,0.5,0.3333,0.2,0.5,0.3333,0.5,1,1,1,1,1,0.2,0.2,1,1,0.25,1,1,1,1,1,1,1,1,0.0833
0.0556,0.5,0.0081,0.0213,0.0081,0,0.25,0.25,0.5,0.5,0.0294,0.125,1,0.3333,1,0.0066,0.0061,0.0059,1,1,1,1,1,0.125,0.1667,0.5,1,0.5,0.0025,0.0123,0.0025,0.3333,0.25,1
0.0098,0.125,0.3333,0.3333,0.5,0,0.1429,0.125,0.3333,0.2,0.0417,0.0417,0.1429,0.25,0.5,1,1,0.3333,1,1,0.0161,0.0149,0.125,0.25,0.0588,0.125,0.125,0.3333,0.25,0.5,0.25,0.1667,0.2,0.25
1,1,1,1,1,0,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,0.25,0.25,1,1,1,0.5,0.5,0.3333,1,0.1667,0.0667,1,1,0.2
0.05,1,0.0303,0.0244,0.0357,0,0.0357,0.0357,0.0556,1,0.1429,0.1429,0.125,0.5,0.1429,0.0111,0.0244,0.0256,0.0323,1,0.25,0.125,0.1667,0.1667,0.5,0.2,0.0357,0.2,0.2,0.0085,0.2,0.3333,0.3333,0.0345
1,0.0217,0.2,0.2,0.5,0,0.0556,0.0556,0.0115,0.025,1,1,0.5,0.1429,0.2,0.3333,0.1667,1,1,0.1,0.05,0.05,0.1,0.0357,0.0061,0.0909,0.0909,0.0833,0.25,0.5,0.25,1,1,1
0.5,0.0909,0.3333,0.5,0.5,0.1429,1,0.3333,1,0.1667,0.3333,0.3333,1,1,1,0.3333,0.3333,0.5,1,1,0.037,0.0333,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5
0.0625,0.0625,0,0.0175,0,0,0.3333,0.25,0.0023,0.0714,0.0556,0.0435,0.0769,0.0333,0.3333,0.0833,0.0769,1,0.0227,1,0.5,0.5,0.0556,0.0556,0.0227,0.1429,0.0625,0.25,0.05,0.0029,0.05,0.0526,0.0833,0
0.5,0.5,1,1,1,0.1,0.0455,1,0.0455,0.5,0.25,0.2,0.1,1,1,0.5,0.125,0.1,0.05,1,0.1667,0.1667,1,1,1,0.5,0.5,1,1,1,1,0.2,0.2,0.0081
0.5,0.1667,0.0054,0.0054,0.0047,0,0.3333,0.3333,0.25,0.2,1,1,0.3333,1,1,0.0034,0.0031,0.0114,0.0045,1,0.0909,0.0833,0.0066,0.0294,1,1,1,1,0,1,0,0.0909,0.0909,0.1667
0.3333,0.0909,0.0019,1,0.0016,0,0.1429,0.125,0.1429,0.1,0.0588,0.0769,0.0078,0.0078,0.0455,1,1,1,0.0182,0.0189,0.2,0.3333,1,0.5,0.25,0.25,0.0278,1,1,1,1,0.3333,0.3333,0.04
